"expense_category","household_type","annual_cost","state_name"
"Transportation","2 Adults 3 Children",10735,"Illinois"
"Other","2 Adults 3 Children",4569,"Illinois"
"Required annual income after taxes","2 Adults 3 Children",63068,"Illinois"
"Annual taxes","2 Adults 3 Children",10419,"Illinois"
"Required annual income before taxes","2 Adults 3 Children",73487,"Illinois"
"Food","1 Adult",3087,"Indiana"
"Child Care","1 Adult",0,"Indiana"
"Medical","1 Adult",2143,"Indiana"
"Housing","1 Adult",5701,"Indiana"
"Transportation","1 Adult",4569,"Indiana"
"Other","1 Adult",2127,"Indiana"
"Required annual income after taxes","1 Adult",17627,"Indiana"
"Annual taxes","1 Adult",2630,"Indiana"
"Required annual income before taxes","1 Adult",20257,"Indiana"
"Food","1 Adult 1 Child",4553,"Indiana"
"Child Care","1 Adult 1 Child",5472,"Indiana"
"Medical","1 Adult 1 Child",6140,"Indiana"
"Housing","1 Adult 1 Child",8675,"Indiana"
"Transportation","1 Adult 1 Child",8320,"Indiana"
"Other","1 Adult 1 Child",3699,"Indiana"
"Required annual income after taxes","1 Adult 1 Child",36857,"Indiana"
"Annual taxes","1 Adult 1 Child",5499,"Indiana"
"Required annual income before taxes","1 Adult 1 Child",42356,"Indiana"
"Food","1 Adult 2 Children",6849,"Indiana"
"Child Care","1 Adult 2 Children",9153,"Indiana"
"Medical","1 Adult 2 Children",5928,"Indiana"
"Housing","1 Adult 2 Children",8675,"Indiana"
"Transportation","1 Adult 2 Children",9589,"Indiana"
"Other","1 Adult 2 Children",4046,"Indiana"
"Required annual income after taxes","1 Adult 2 Children",44240,"Indiana"
"Annual taxes","1 Adult 2 Children",6601,"Indiana"
"Required annual income before taxes","1 Adult 2 Children",50841,"Indiana"
"Food","1 Adult 3 Children",9078,"Indiana"
"Child Care","1 Adult 3 Children",12835,"Indiana"
"Medical","1 Adult 3 Children",5992,"Indiana"
"Housing","1 Adult 3 Children",11387,"Indiana"
"Transportation","1 Adult 3 Children",11236,"Indiana"
"Other","1 Adult 3 Children",4891,"Indiana"
"Required annual income after taxes","1 Adult 3 Children",55420,"Indiana"
"Annual taxes","1 Adult 3 Children",8269,"Indiana"
"Required annual income before taxes","1 Adult 3 Children",63688,"Indiana"
"Food","2 Adults (One Working)",5659,"Indiana"
"Child Care","2 Adults (One Working)",0,"Indiana"
"Medical","2 Adults (One Working)",4564,"Indiana"
"Housing","2 Adults (One Working)",6804,"Indiana"
"Transportation","2 Adults (One Working)",8320,"Indiana"
"Other","2 Adults (One Working)",3699,"Indiana"
"Required annual income after taxes","2 Adults (One Working)",29046,"Indiana"
"Annual taxes","2 Adults (One Working)",4334,"Indiana"
"Required annual income before taxes","2 Adults (One Working)",33379,"Indiana"
"Food","2 Adults (One Working) 1 Child",7047,"Indiana"
"Child Care","2 Adults (One Working) 1 Child",0,"Indiana"
"Medical","2 Adults (One Working) 1 Child",5928,"Indiana"
"Housing","2 Adults (One Working) 1 Child",8675,"Indiana"
"Transportation","2 Adults (One Working) 1 Child",9589,"Indiana"
"Other","2 Adults (One Working) 1 Child",4046,"Indiana"
"Required annual income after taxes","2 Adults (One Working) 1 Child",35285,"Indiana"
"Annual taxes","2 Adults (One Working) 1 Child",5265,"Indiana"
"Required annual income before taxes","2 Adults (One Working) 1 Child",40550,"Indiana"
"Food","2 Adults (One Working) 2 Children",9095,"Indiana"
"Child Care","2 Adults (One Working) 2 Children",0,"Indiana"
"Medical","2 Adults (One Working) 2 Children",5992,"Indiana"
"Housing","2 Adults (One Working) 2 Children",8675,"Indiana"
"Transportation","2 Adults (One Working) 2 Children",11236,"Indiana"
"Other","2 Adults (One Working) 2 Children",4891,"Indiana"
"Required annual income after taxes","2 Adults (One Working) 2 Children",39889,"Indiana"
"Annual taxes","2 Adults (One Working) 2 Children",5951,"Indiana"
"Required annual income before taxes","2 Adults (One Working) 2 Children",45840,"Indiana"
"Food","2 Adults (One Working) 3 Children",11068,"Indiana"
"Child Care","2 Adults (One Working) 3 Children",0,"Indiana"
"Medical","2 Adults (One Working) 3 Children",5959,"Indiana"
"Housing","2 Adults (One Working) 3 Children",11387,"Indiana"
"Transportation","2 Adults (One Working) 3 Children",10735,"Indiana"
"Other","2 Adults (One Working) 3 Children",4569,"Indiana"
"Required annual income after taxes","2 Adults (One Working) 3 Children",43719,"Indiana"
"Annual taxes","2 Adults (One Working) 3 Children",6523,"Indiana"
"Required annual income before taxes","2 Adults (One Working) 3 Children",50242,"Indiana"
"Food","2 Adults",5659,"Indiana"
"Child Care","2 Adults",0,"Indiana"
"Medical","2 Adults",4564,"Indiana"
"Housing","2 Adults",6804,"Indiana"
"Transportation","2 Adults",8320,"Indiana"
"Other","2 Adults",3699,"Indiana"
"Required annual income after taxes","2 Adults",29046,"Indiana"
"Annual taxes","2 Adults",4334,"Indiana"
"Required annual income before taxes","2 Adults",33379,"Indiana"
"Food","2 Adults 1 Child",7047,"Indiana"
"Child Care","2 Adults 1 Child",5472,"Indiana"
"Medical","2 Adults 1 Child",5928,"Indiana"
"Housing","2 Adults 1 Child",8675,"Indiana"
"Transportation","2 Adults 1 Child",9589,"Indiana"
"Other","2 Adults 1 Child",4046,"Indiana"
"Required annual income after taxes","2 Adults 1 Child",40757,"Indiana"
"Annual taxes","2 Adults 1 Child",6081,"Indiana"
"Required annual income before taxes","2 Adults 1 Child",46838,"Indiana"
"Food","2 Adults 2 Children",9095,"Indiana"
"Child Care","2 Adults 2 Children",9153,"Indiana"
"Medical","2 Adults 2 Children",5992,"Indiana"
"Housing","2 Adults 2 Children",8675,"Indiana"
"Transportation","2 Adults 2 Children",11236,"Indiana"
"Other","2 Adults 2 Children",4891,"Indiana"
"Required annual income after taxes","2 Adults 2 Children",49042,"Indiana"
"Annual taxes","2 Adults 2 Children",7317,"Indiana"
"Required annual income before taxes","2 Adults 2 Children",56359,"Indiana"
"Food","2 Adults 3 Children",11068,"Indiana"
"Child Care","2 Adults 3 Children",12835,"Indiana"
"Medical","2 Adults 3 Children",5959,"Indiana"
"Housing","2 Adults 3 Children",11387,"Indiana"
"Transportation","2 Adults 3 Children",10735,"Indiana"
"Other","2 Adults 3 Children",4569,"Indiana"
"Required annual income after taxes","2 Adults 3 Children",56554,"Indiana"
"Annual taxes","2 Adults 3 Children",8438,"Indiana"
"Required annual income before taxes","2 Adults 3 Children",64992,"Indiana"
"Food","1 Adult",3087,"Iowa"
"Child Care","1 Adult",0,"Iowa"
"Medical","1 Adult",2208,"Iowa"
"Housing","1 Adult",5410,"Iowa"
"Transportation","1 Adult",4569,"Iowa"
"Other","1 Adult",2127,"Iowa"
"Required annual income after taxes","1 Adult",17401,"Iowa"
"Annual taxes","1 Adult",3258,"Iowa"
"Required annual income before taxes","1 Adult",20659,"Iowa"
"Food","1 Adult 1 Child",4553,"Iowa"
"Child Care","1 Adult 1 Child",6648,"Iowa"
"Medical","1 Adult 1 Child",5881,"Iowa"
"Housing","1 Adult 1 Child",8175,"Iowa"
"Transportation","1 Adult 1 Child",8320,"Iowa"
"Other","1 Adult 1 Child",3699,"Iowa"
"Required annual income after taxes","1 Adult 1 Child",37274,"Iowa"
"Annual taxes","1 Adult 1 Child",6978,"Iowa"
"Required annual income before taxes","1 Adult 1 Child",44252,"Iowa"
"Food","1 Adult 2 Children",6849,"Iowa"
"Child Care","1 Adult 2 Children",10892,"Iowa"
"Medical","1 Adult 2 Children",5669,"Iowa"
"Housing","1 Adult 2 Children",8175,"Iowa"
"Transportation","1 Adult 2 Children",9589,"Iowa"
"Other","1 Adult 2 Children",4046,"Iowa"
"Required annual income after taxes","1 Adult 2 Children",45220,"Iowa"
"Annual taxes","1 Adult 2 Children",8465,"Iowa"
"Required annual income before taxes","1 Adult 2 Children",53685,"Iowa"
"Food","1 Adult 3 Children",9078,"Iowa"
"Child Care","1 Adult 3 Children",15136,"Iowa"
"Medical","1 Adult 3 Children",5733,"Iowa"
"Housing","1 Adult 3 Children",11092,"Iowa"
"Transportation","1 Adult 3 Children",11236,"Iowa"
"Other","1 Adult 3 Children",4891,"Iowa"
"Required annual income after taxes","1 Adult 3 Children",57167,"Iowa"
"Annual taxes","1 Adult 3 Children",10702,"Iowa"
"Required annual income before taxes","1 Adult 3 Children",67869,"Iowa"
"Food","2 Adults (One Working)",5659,"Iowa"
"Child Care","2 Adults (One Working)",0,"Iowa"
"Medical","2 Adults (One Working)",4609,"Iowa"
"Housing","2 Adults (One Working)",6407,"Iowa"
"Transportation","2 Adults (One Working)",8320,"Iowa"
"Other","2 Adults (One Working)",3699,"Iowa"
"Required annual income after taxes","2 Adults (One Working)",28693,"Iowa"
"Annual taxes","2 Adults (One Working)",5371,"Iowa"
"Required annual income before taxes","2 Adults (One Working)",34064,"Iowa"
"Food","2 Adults (One Working) 1 Child",7047,"Iowa"
"Child Care","2 Adults (One Working) 1 Child",0,"Iowa"
"Medical","2 Adults (One Working) 1 Child",5669,"Iowa"
"Housing","2 Adults (One Working) 1 Child",8175,"Iowa"
"Transportation","2 Adults (One Working) 1 Child",9589,"Iowa"
"Other","2 Adults (One Working) 1 Child",4046,"Iowa"
"Required annual income after taxes","2 Adults (One Working) 1 Child",34526,"Iowa"
"Annual taxes","2 Adults (One Working) 1 Child",6463,"Iowa"
"Required annual income before taxes","2 Adults (One Working) 1 Child",40989,"Iowa"
"Food","2 Adults (One Working) 2 Children",9095,"Iowa"
"Child Care","2 Adults (One Working) 2 Children",0,"Iowa"
"Medical","2 Adults (One Working) 2 Children",5733,"Iowa"
"Housing","2 Adults (One Working) 2 Children",8175,"Iowa"
"Transportation","2 Adults (One Working) 2 Children",11236,"Iowa"
"Other","2 Adults (One Working) 2 Children",4891,"Iowa"
"Required annual income after taxes","2 Adults (One Working) 2 Children",39130,"Iowa"
"Annual taxes","2 Adults (One Working) 2 Children",7325,"Iowa"
"Required annual income before taxes","2 Adults (One Working) 2 Children",46455,"Iowa"
"Food","2 Adults (One Working) 3 Children",11068,"Iowa"
"Child Care","2 Adults (One Working) 3 Children",0,"Iowa"
"Medical","2 Adults (One Working) 3 Children",5700,"Iowa"
"Housing","2 Adults (One Working) 3 Children",11092,"Iowa"
"Transportation","2 Adults (One Working) 3 Children",10735,"Iowa"
"Other","2 Adults (One Working) 3 Children",4569,"Iowa"
"Required annual income after taxes","2 Adults (One Working) 3 Children",43165,"Iowa"
"Annual taxes","2 Adults (One Working) 3 Children",8080,"Iowa"
"Required annual income before taxes","2 Adults (One Working) 3 Children",51246,"Iowa"
"Food","2 Adults",5659,"Iowa"
"Child Care","2 Adults",0,"Iowa"
"Medical","2 Adults",4609,"Iowa"
"Housing","2 Adults",6407,"Iowa"
"Transportation","2 Adults",8320,"Iowa"
"Other","2 Adults",3699,"Iowa"
"Required annual income after taxes","2 Adults",28693,"Iowa"
"Annual taxes","2 Adults",5371,"Iowa"
"Required annual income before taxes","2 Adults",34064,"Iowa"
"Food","2 Adults 1 Child",7047,"Iowa"
"Child Care","2 Adults 1 Child",6648,"Iowa"
"Medical","2 Adults 1 Child",5669,"Iowa"
"Housing","2 Adults 1 Child",8175,"Iowa"
"Transportation","2 Adults 1 Child",9589,"Iowa"
"Other","2 Adults 1 Child",4046,"Iowa"
"Required annual income after taxes","2 Adults 1 Child",41174,"Iowa"
"Annual taxes","2 Adults 1 Child",7708,"Iowa"
"Required annual income before taxes","2 Adults 1 Child",48882,"Iowa"
"Food","2 Adults 2 Children",9095,"Iowa"
"Child Care","2 Adults 2 Children",10892,"Iowa"
"Medical","2 Adults 2 Children",5733,"Iowa"
"Housing","2 Adults 2 Children",8175,"Iowa"
"Transportation","2 Adults 2 Children",11236,"Iowa"
"Other","2 Adults 2 Children",4891,"Iowa"
"Required annual income after taxes","2 Adults 2 Children",50022,"Iowa"
"Annual taxes","2 Adults 2 Children",9364,"Iowa"
"Required annual income before taxes","2 Adults 2 Children",59386,"Iowa"
"Food","2 Adults 3 Children",11068,"Iowa"
"Child Care","2 Adults 3 Children",15136,"Iowa"
"Medical","2 Adults 3 Children",5700,"Iowa"
"Housing","2 Adults 3 Children",11092,"Iowa"
"Transportation","2 Adults 3 Children",10735,"Iowa"
"Other","2 Adults 3 Children",4569,"Iowa"
"Required annual income after taxes","2 Adults 3 Children",58301,"Iowa"
"Annual taxes","2 Adults 3 Children",10914,"Iowa"
"Required annual income before taxes","2 Adults 3 Children",69215,"Iowa"
"Food","1 Adult",3087,"Kansas"
"Child Care","1 Adult",0,"Kansas"
"Medical","1 Adult",2089,"Kansas"
"Housing","1 Adult",5695,"Kansas"
"Transportation","1 Adult",4569,"Kansas"
"Other","1 Adult",2127,"Kansas"
"Required annual income after taxes","1 Adult",17567,"Kansas"
"Annual taxes","1 Adult",2867,"Kansas"
"Required annual income before taxes","1 Adult",20435,"Kansas"
"Food","1 Adult 1 Child",4553,"Kansas"
"Child Care","1 Adult 1 Child",5932,"Kansas"
"Medical","1 Adult 1 Child",6001,"Kansas"
"Housing","1 Adult 1 Child",8909,"Kansas"
"Transportation","1 Adult 1 Child",8320,"Kansas"
"Other","1 Adult 1 Child",3699,"Kansas"
"Required annual income after taxes","1 Adult 1 Child",37412,"Kansas"
"Annual taxes","1 Adult 1 Child",6106,"Kansas"
"Required annual income before taxes","1 Adult 1 Child",43518,"Kansas"
"Food","1 Adult 2 Children",6849,"Kansas"
"Child Care","1 Adult 2 Children",10125,"Kansas"
"Medical","1 Adult 2 Children",5789,"Kansas"
"Housing","1 Adult 2 Children",8909,"Kansas"
"Transportation","1 Adult 2 Children",9589,"Kansas"
"Other","1 Adult 2 Children",4046,"Kansas"
"Required annual income after taxes","1 Adult 2 Children",45307,"Kansas"
"Annual taxes","1 Adult 2 Children",7394,"Kansas"
"Required annual income before taxes","1 Adult 2 Children",52701,"Kansas"
"Food","1 Adult 3 Children",9078,"Kansas"
"Child Care","1 Adult 3 Children",14318,"Kansas"
"Medical","1 Adult 3 Children",5853,"Kansas"
"Housing","1 Adult 3 Children",12231,"Kansas"
"Transportation","1 Adult 3 Children",11236,"Kansas"
"Other","1 Adult 3 Children",4891,"Kansas"
"Required annual income after taxes","1 Adult 3 Children",57607,"Kansas"
"Annual taxes","1 Adult 3 Children",9401,"Kansas"
"Required annual income before taxes","1 Adult 3 Children",67009,"Kansas"
"Food","2 Adults (One Working)",5659,"Kansas"
"Child Care","2 Adults (One Working)",0,"Kansas"
"Medical","2 Adults (One Working)",4661,"Kansas"
"Housing","2 Adults (One Working)",6914,"Kansas"
"Transportation","2 Adults (One Working)",8320,"Kansas"
"Other","2 Adults (One Working)",3699,"Kansas"
"Required annual income after taxes","2 Adults (One Working)",29252,"Kansas"
"Annual taxes","2 Adults (One Working)",4774,"Kansas"
"Required annual income before taxes","2 Adults (One Working)",34026,"Kansas"
"Food","2 Adults (One Working) 1 Child",7047,"Kansas"
"Child Care","2 Adults (One Working) 1 Child",0,"Kansas"
"Medical","2 Adults (One Working) 1 Child",5789,"Kansas"
"Housing","2 Adults (One Working) 1 Child",8909,"Kansas"
"Transportation","2 Adults (One Working) 1 Child",9589,"Kansas"
"Other","2 Adults (One Working) 1 Child",4046,"Kansas"
"Required annual income after taxes","2 Adults (One Working) 1 Child",35380,"Kansas"
"Annual taxes","2 Adults (One Working) 1 Child",5774,"Kansas"
"Required annual income before taxes","2 Adults (One Working) 1 Child",41154,"Kansas"
"Food","2 Adults (One Working) 2 Children",9095,"Kansas"
"Child Care","2 Adults (One Working) 2 Children",0,"Kansas"
"Medical","2 Adults (One Working) 2 Children",5853,"Kansas"
"Housing","2 Adults (One Working) 2 Children",8909,"Kansas"
"Transportation","2 Adults (One Working) 2 Children",11236,"Kansas"
"Other","2 Adults (One Working) 2 Children",4891,"Kansas"
"Required annual income after taxes","2 Adults (One Working) 2 Children",39984,"Kansas"
"Annual taxes","2 Adults (One Working) 2 Children",6525,"Kansas"
"Required annual income before taxes","2 Adults (One Working) 2 Children",46509,"Kansas"
"Food","2 Adults (One Working) 3 Children",11068,"Kansas"
"Child Care","2 Adults (One Working) 3 Children",0,"Kansas"
"Medical","2 Adults (One Working) 3 Children",5820,"Kansas"
"Housing","2 Adults (One Working) 3 Children",12231,"Kansas"
"Transportation","2 Adults (One Working) 3 Children",10735,"Kansas"
"Other","2 Adults (One Working) 3 Children",4569,"Kansas"
"Required annual income after taxes","2 Adults (One Working) 3 Children",44423,"Kansas"
"Annual taxes","2 Adults (One Working) 3 Children",7250,"Kansas"
"Required annual income before taxes","2 Adults (One Working) 3 Children",51673,"Kansas"
"Food","2 Adults",5659,"Kansas"
"Child Care","2 Adults",0,"Kansas"
"Medical","2 Adults",4661,"Kansas"
"Housing","2 Adults",6914,"Kansas"
"Transportation","2 Adults",8320,"Kansas"
"Other","2 Adults",3699,"Kansas"
"Required annual income after taxes","2 Adults",29252,"Kansas"
"Annual taxes","2 Adults",4774,"Kansas"
"Required annual income before taxes","2 Adults",34026,"Kansas"
"Food","2 Adults 1 Child",7047,"Kansas"
"Child Care","2 Adults 1 Child",5932,"Kansas"
"Medical","2 Adults 1 Child",5789,"Kansas"
"Housing","2 Adults 1 Child",8909,"Kansas"
"Transportation","2 Adults 1 Child",9589,"Kansas"
"Other","2 Adults 1 Child",4046,"Kansas"
"Required annual income after taxes","2 Adults 1 Child",41312,"Kansas"
"Annual taxes","2 Adults 1 Child",6742,"Kansas"
"Required annual income before taxes","2 Adults 1 Child",48054,"Kansas"
"Food","2 Adults 2 Children",9095,"Kansas"
"Child Care","2 Adults 2 Children",10125,"Kansas"
"Medical","2 Adults 2 Children",5853,"Kansas"
"Housing","2 Adults 2 Children",8909,"Kansas"
"Transportation","2 Adults 2 Children",11236,"Kansas"
"Other","2 Adults 2 Children",4891,"Kansas"
"Required annual income after taxes","2 Adults 2 Children",50109,"Kansas"
"Annual taxes","2 Adults 2 Children",8178,"Kansas"
"Required annual income before taxes","2 Adults 2 Children",58286,"Kansas"
"Food","2 Adults 3 Children",11068,"Kansas"
"Child Care","2 Adults 3 Children",14318,"Kansas"
"Medical","2 Adults 3 Children",5820,"Kansas"
"Housing","2 Adults 3 Children",12231,"Kansas"
"Transportation","2 Adults 3 Children",10735,"Kansas"
"Other","2 Adults 3 Children",4569,"Kansas"
"Required annual income after taxes","2 Adults 3 Children",58741,"Kansas"
"Annual taxes","2 Adults 3 Children",9587,"Kansas"
"Required annual income before taxes","2 Adults 3 Children",68328,"Kansas"
"Food","1 Adult",3022,"Kentucky"
"Child Care","1 Adult",0,"Kentucky"
"Medical","1 Adult",2226,"Kentucky"
"Housing","1 Adult",5442,"Kentucky"
"Transportation","1 Adult",4697,"Kentucky"
"Other","1 Adult",2253,"Kentucky"
"Required annual income after taxes","1 Adult",17640,"Kentucky"
"Annual taxes","1 Adult",2561,"Kentucky"
"Required annual income before taxes","1 Adult",20202,"Kentucky"
"Food","1 Adult 1 Child",4457,"Kentucky"
"Child Care","1 Adult 1 Child",3426,"Kentucky"
"Medical","1 Adult 1 Child",5728,"Kentucky"
"Housing","1 Adult 1 Child",7832,"Kentucky"
"Transportation","1 Adult 1 Child",8554,"Kentucky"
"Other","1 Adult 1 Child",3916,"Kentucky"
"Required annual income after taxes","1 Adult 1 Child",33913,"Kentucky"
"Annual taxes","1 Adult 1 Child",4924,"Kentucky"
"Required annual income before taxes","1 Adult 1 Child",38838,"Kentucky"
"Food","1 Adult 2 Children",6704,"Kentucky"
"Child Care","1 Adult 2 Children",8693,"Kentucky"
"Medical","1 Adult 2 Children",5517,"Kentucky"
"Housing","1 Adult 2 Children",7832,"Kentucky"
"Transportation","1 Adult 2 Children",9859,"Kentucky"
"Other","1 Adult 2 Children",4284,"Kentucky"
"Required annual income after taxes","1 Adult 2 Children",42890,"Kentucky"
"Annual taxes","1 Adult 2 Children",6228,"Kentucky"
"Required annual income before taxes","1 Adult 2 Children",49118,"Kentucky"
"Food","1 Adult 3 Children",8887,"Kentucky"
"Child Care","1 Adult 3 Children",13960,"Kentucky"
"Medical","1 Adult 3 Children",5581,"Kentucky"
"Housing","1 Adult 3 Children",10720,"Kentucky"
"Transportation","1 Adult 3 Children",11553,"Kentucky"
"Other","1 Adult 3 Children",5178,"Kentucky"
"Required annual income after taxes","1 Adult 3 Children",55880,"Kentucky"
"Annual taxes","1 Adult 3 Children",8114,"Kentucky"
"Required annual income before taxes","1 Adult 3 Children",63993,"Kentucky"
"Food","2 Adults (One Working)",5540,"Kentucky"
"Child Care","2 Adults (One Working)",0,"Kentucky"
"Medical","2 Adults (One Working)",4350,"Kentucky"
"Housing","2 Adults (One Working)",6110,"Kentucky"
"Transportation","2 Adults (One Working)",8554,"Kentucky"
"Other","2 Adults (One Working)",3916,"Kentucky"
"Required annual income after taxes","2 Adults (One Working)",28470,"Kentucky"
"Annual taxes","2 Adults (One Working)",4134,"Kentucky"
"Required annual income before taxes","2 Adults (One Working)",32604,"Kentucky"
"Food","2 Adults (One Working) 1 Child",6898,"Kentucky"
"Child Care","2 Adults (One Working) 1 Child",0,"Kentucky"
"Medical","2 Adults (One Working) 1 Child",5517,"Kentucky"
"Housing","2 Adults (One Working) 1 Child",7832,"Kentucky"
"Transportation","2 Adults (One Working) 1 Child",9859,"Kentucky"
"Other","2 Adults (One Working) 1 Child",4284,"Kentucky"
"Required annual income after taxes","2 Adults (One Working) 1 Child",34391,"Kentucky"
"Annual taxes","2 Adults (One Working) 1 Child",4994,"Kentucky"
"Required annual income before taxes","2 Adults (One Working) 1 Child",39384,"Kentucky"
"Food","2 Adults (One Working) 2 Children",8903,"Kentucky"
"Child Care","2 Adults (One Working) 2 Children",0,"Kentucky"
"Medical","2 Adults (One Working) 2 Children",5581,"Kentucky"
"Housing","2 Adults (One Working) 2 Children",7832,"Kentucky"
"Transportation","2 Adults (One Working) 2 Children",11553,"Kentucky"
"Other","2 Adults (One Working) 2 Children",5178,"Kentucky"
"Required annual income after taxes","2 Adults (One Working) 2 Children",39047,"Kentucky"
"Annual taxes","2 Adults (One Working) 2 Children",5670,"Kentucky"
"Required annual income before taxes","2 Adults (One Working) 2 Children",44717,"Kentucky"
"Food","2 Adults (One Working) 3 Children",10835,"Kentucky"
"Child Care","2 Adults (One Working) 3 Children",0,"Kentucky"
"Medical","2 Adults (One Working) 3 Children",5548,"Kentucky"
"Housing","2 Adults (One Working) 3 Children",10720,"Kentucky"
"Transportation","2 Adults (One Working) 3 Children",11037,"Kentucky"
"Other","2 Adults (One Working) 3 Children",4838,"Kentucky"
"Required annual income after taxes","2 Adults (One Working) 3 Children",42979,"Kentucky"
"Annual taxes","2 Adults (One Working) 3 Children",6241,"Kentucky"
"Required annual income before taxes","2 Adults (One Working) 3 Children",49219,"Kentucky"
"Food","2 Adults",5540,"Kentucky"
"Child Care","2 Adults",0,"Kentucky"
"Medical","2 Adults",4350,"Kentucky"
"Housing","2 Adults",6110,"Kentucky"
"Transportation","2 Adults",8554,"Kentucky"
"Other","2 Adults",3916,"Kentucky"
"Required annual income after taxes","2 Adults",28470,"Kentucky"
"Annual taxes","2 Adults",4134,"Kentucky"
"Required annual income before taxes","2 Adults",32604,"Kentucky"
"Food","2 Adults 1 Child",6898,"Kentucky"
"Child Care","2 Adults 1 Child",3426,"Kentucky"
"Medical","2 Adults 1 Child",5517,"Kentucky"
"Housing","2 Adults 1 Child",7832,"Kentucky"
"Transportation","2 Adults 1 Child",9859,"Kentucky"
"Other","2 Adults 1 Child",4284,"Kentucky"
"Required annual income after taxes","2 Adults 1 Child",37817,"Kentucky"
"Annual taxes","2 Adults 1 Child",5491,"Kentucky"
"Required annual income before taxes","2 Adults 1 Child",43308,"Kentucky"
"Food","2 Adults 2 Children",8903,"Kentucky"
"Child Care","2 Adults 2 Children",8693,"Kentucky"
"Medical","2 Adults 2 Children",5581,"Kentucky"
"Housing","2 Adults 2 Children",7832,"Kentucky"
"Transportation","2 Adults 2 Children",11553,"Kentucky"
"Other","2 Adults 2 Children",5178,"Kentucky"
"Required annual income after taxes","2 Adults 2 Children",47740,"Kentucky"
"Annual taxes","2 Adults 2 Children",6932,"Kentucky"
"Required annual income before taxes","2 Adults 2 Children",54672,"Kentucky"
"Food","2 Adults 3 Children",10835,"Kentucky"
"Child Care","2 Adults 3 Children",13960,"Kentucky"
"Medical","2 Adults 3 Children",5548,"Kentucky"
"Housing","2 Adults 3 Children",10720,"Kentucky"
"Transportation","2 Adults 3 Children",11037,"Kentucky"
"Other","2 Adults 3 Children",4838,"Kentucky"
"Required annual income after taxes","2 Adults 3 Children",56939,"Kentucky"
"Annual taxes","2 Adults 3 Children",8268,"Kentucky"
"Required annual income before taxes","2 Adults 3 Children",65206,"Kentucky"
"Food","1 Adult",3022,"Louisiana"
"Child Care","1 Adult",0,"Louisiana"
"Medical","1 Adult",2225,"Louisiana"
"Housing","1 Adult",6662,"Louisiana"
"Transportation","1 Adult",4697,"Louisiana"
"Other","1 Adult",2253,"Louisiana"
"Required annual income after taxes","1 Adult",18859,"Louisiana"
"Annual taxes","1 Adult",2927,"Louisiana"
"Required annual income before taxes","1 Adult",21786,"Louisiana"
"Food","1 Adult 1 Child",4457,"Louisiana"
"Child Care","1 Adult 1 Child",4756,"Louisiana"
"Medical","1 Adult 1 Child",6451,"Louisiana"
"Housing","1 Adult 1 Child",9493,"Louisiana"
"Transportation","1 Adult 1 Child",8554,"Louisiana"
"Other","1 Adult 1 Child",3916,"Louisiana"
"Required annual income after taxes","1 Adult 1 Child",37626,"Louisiana"
"Annual taxes","1 Adult 1 Child",5840,"Louisiana"
"Required annual income before taxes","1 Adult 1 Child",43466,"Louisiana"
"Food","1 Adult 2 Children",6704,"Louisiana"
"Child Care","1 Adult 2 Children",5881,"Louisiana"
"Medical","1 Adult 2 Children",6239,"Louisiana"
"Housing","1 Adult 2 Children",9493,"Louisiana"
"Transportation","1 Adult 2 Children",9859,"Louisiana"
"Other","1 Adult 2 Children",4284,"Louisiana"
"Required annual income after taxes","1 Adult 2 Children",42461,"Louisiana"
"Annual taxes","1 Adult 2 Children",6590,"Louisiana"
"Required annual income before taxes","1 Adult 2 Children",49051,"Louisiana"
"Food","1 Adult 3 Children",8887,"Louisiana"
"Child Care","1 Adult 3 Children",7006,"Louisiana"
"Medical","1 Adult 3 Children",6303,"Louisiana"
"Housing","1 Adult 3 Children",12171,"Louisiana"
"Transportation","1 Adult 3 Children",11553,"Louisiana"
"Other","1 Adult 3 Children",5178,"Louisiana"
"Required annual income after taxes","1 Adult 3 Children",51097,"Louisiana"
"Annual taxes","1 Adult 3 Children",7930,"Louisiana"
"Required annual income before taxes","1 Adult 3 Children",59028,"Louisiana"
"Food","2 Adults (One Working)",5540,"Louisiana"
"Child Care","2 Adults (One Working)",0,"Louisiana"
"Medical","2 Adults (One Working)",4839,"Louisiana"
"Housing","2 Adults (One Working)",7644,"Louisiana"
"Transportation","2 Adults (One Working)",8554,"Louisiana"
"Other","2 Adults (One Working)",3916,"Louisiana"
"Required annual income after taxes","2 Adults (One Working)",30493,"Louisiana"
"Annual taxes","2 Adults (One Working)",4732,"Louisiana"
"Required annual income before taxes","2 Adults (One Working)",35225,"Louisiana"
"Food","2 Adults (One Working) 1 Child",6898,"Louisiana"
"Child Care","2 Adults (One Working) 1 Child",0,"Louisiana"
"Medical","2 Adults (One Working) 1 Child",6239,"Louisiana"
"Housing","2 Adults (One Working) 1 Child",9493,"Louisiana"
"Transportation","2 Adults (One Working) 1 Child",9859,"Louisiana"
"Other","2 Adults (One Working) 1 Child",4284,"Louisiana"
"Required annual income after taxes","2 Adults (One Working) 1 Child",36774,"Louisiana"
"Annual taxes","2 Adults (One Working) 1 Child",5707,"Louisiana"
"Required annual income before taxes","2 Adults (One Working) 1 Child",42482,"Louisiana"
"Food","2 Adults (One Working) 2 Children",8903,"Louisiana"
"Child Care","2 Adults (One Working) 2 Children",0,"Louisiana"
